Sex;Diet;Bodyweight
F;hf;3194
F;hf;3248
F;hf;2282
F;hf;1992
F;hf;3222
F;hf;275
F;hf;2756
F;hf;3644
F;hf;1939
F;hf;2316
F;hf;2429
F;hf;1878
F;hf;2543
F;hf;243
F;hf;339
F;hf;3147
F;hf;3201
F;hf;1852
F;hf;2686
F;hf;2541
F;hf;2918
F;hf;253
F;hf;2964
F;hf;2073
F;hf;2826
F;chow;2703
F;chow;248
F;chow;2702
F;chow;2807
F;chow;2355
F;chow;2272
F;chow;2482
F;chow;216
F;chow;2398
F;chow;266
F;chow;1924
F;chow;2143
F;chow;2273
F;chow;201
F;chow;206
F;chow;2149
F;chow;2473
F;chow;2792
F;chow;2751
F;chow;1988
F;chow;2072
F;chow;24
F;chow;2508
F;chow;2527
F;chow;2208
F;chow;2052
F;chow;2339
F;chow;1987
F;chow;1795
F;chow;3183
F;chow;2171
F;chow;2999
F;chow;2089
F;chow;296
F;chow;2277
F;chow;2603
F;chow;3684
F;chow;2625
F;chow;2293
F;chow;2825
F;chow;2384
F;chow;2053
F;chow;241
F;chow;2479
F;chow;2368
F;chow;2186
F;chow;2725
F;chow;2155
F;chow;2412
F;chow;2307
F;hf;208
F;hf;2454
F;hf;2728
F;hf;2213
F;hf;2778
F;hf;2801
F;hf;1918
F;hf;214
F;hf;2753
F;hf;2861
F;hf;2045
F;hf;23
F;hf;2826
F;hf;2476
F;hf;2382
F;hf;219
F;hf;2607
F;hf;3115
F;hf;2792
F;hf;1981
F;hf;2494
F;hf;226
F;hf;2239
F;hf;3493
F;hf;2966
F;hf;2646
F;chow;2043
F;chow;2482
F;chow;2543
F;chow;2212
F;chow;2099
F;chow;2328
F;chow;2578
F;chow;22
F;chow;2074
F;chow;2151
F;chow;2685
F;chow;2554
F;chow;2251
F;chow;2192
F;chow;2132
F;chow;2359
F;chow;2614
F;chow;2027
F;chow;296
F;chow;2477
F;chow;2236
F;chow;2165
F;chow;2208
F;chow;2659
F;chow;246
F;hf;2188
F;hf;265
F;hf;2455
F;hf;1656
F;hf;2918
F;hf;2607
F;hf;1754
F;hf;2618
F;hf;2526
F;hf;275
F;hf;2314
F;hf;3141
F;hf;2514
F;hf;2212
F;hf;1701
F;hf;228
F;hf;2537
F;hf;2861
F;hf;2213
F;hf;2166
F;hf;249
F;hf;3313
F;hf;2958
F;hf;2305
F;chow;2219
F;chow;2919
F;chow;2514
F;chow;2319
F;chow;2736
F;chow;2353
F;chow;2354
F;chow;1841
F;chow;2814
F;chow;2334
F;chow;2011
F;chow;1808
F;chow;2103
F;chow;2423
F;chow;1967
F;chow;2266
F;chow;2666
F;chow;2069
F;chow;2742
F;chow;2191
F;chow;1682
F;chow;2447
F;chow;2396
F;chow;2318
F;chow;288
F;hf;2398
F;hf;2637
F;hf;2405
F;hf;3118
F;hf;343
F;hf;3163
F;hf;2383
F;hf;2584
F;hf;2684
F;hf;3623
F;hf;2352
F;hf;2465
F;hf;2447
F;hf;3928
F;hf;2642
F;hf;1855
F;hf;2067
F;hf;2343
F;hf;2088
F;hf;1873
F;hf;2464
F;hf;2522
F;hf;291
F;hf;2534
F;hf;3461
F;chow;2637
F;chow;2361
F;chow;2607
F;chow;2775
F;chow;237
F;chow;2373
F;chow;2449
F;chow;2287
F;chow;2923
F;chow;2146
F;chow;2212
F;chow;3347
F;chow;2496
F;chow;2615
F;chow;2489
F;chow;1941
F;chow;2636
F;chow;2647
F;chow;2319
F;chow;2232
F;chow;2003
F;chow;2351
F;chow;2135
F;chow;2158
F;chow;2227
F;hf;2179
F;hf;18789
F;hf;2029
F;hf;2644
F;hf;2588
F;hf;2348
F;hf;2298
F;hf;2404
F;hf;3296
F;hf;2309
F;hf;2429
F;hf;2872
F;hf;2993
F;hf;265
F;hf;2326
F;hf;1921
F;hf;2115
F;hf;2023
F;hf;1824
F;hf;1597
F;hf;3081
F;hf;2538
F;hf;3034
F;hf;3153
F;hf;2219
F;chow;2309
F;chow;2388
F;chow;2404
F;chow;2715
F;chow;188
F;chow;2807
F;chow;2446
F;chow;2542
F;chow;2028
F;chow;2406
F;chow;1551
F;chow;2251
F;chow;1594
F;chow;199
F;chow;1944
F;chow;2218
F;chow;2597
F;chow;2596
F;chow;2312
F;chow;2098
F;chow;2478
F;chow;2256
F;chow;2036
F;chow;1605
F;chow;1795
F;hf;3752
F;hf;2888
F;hf;2262
F;hf;2257
F;hf;2872
F;hf;2511
F;hf;2522
F;hf;2541
F;hf;2722
F;hf;2344
F;hf;2779
F;hf;311
F;hf;2571
F;hf;2599
F;hf;2855
F;hf;2497
F;hf;3973
F;hf;2723
F;hf;2797
F;hf;2523
F;hf;218
F;hf;2562
F;hf;2415
F;hf;5049
F;hf;3012
F;chow;2271
F;chow;2822
F;chow;215
F;chow;203
F;chow;1996
F;chow;1907
F;chow;2235
F;chow;2054
F;chow;3045
F;chow;2354
F;chow;2061
F;chow;2018
F;chow;2059
F;chow;2332
F;chow;2635
F;chow;2291
F;chow;251
F;chow;2846
F;chow;2131
